weight,rarity,icon,title,name,desc
1,UR,🕯,夜を越える灯,焔夜永照,暗い時間が長くても、これだけは消えなかったらしい。気づいた時には、足元が少し見えている。
1,UR,🎁,静かな約束,深盟無言,言葉にはしなかったが、破るつもりもない。そういう類のもの。
2,UR,🌙,月下の余熱,残月温影,もう終わったはずなのに、手のひらだけが温かい。
,,,,,
5,SR,🍶,一杯の余裕,緩心一献,急がなくていい、という合図みたいなもの。今日はここまででいいらしい。
5,SR,🧤,手袋の片方,孤掌防寒,揃ってはいないが、無いよりはずっといい。
5,SR,📜,折り目のある紙,折痕旧文,何度も読み返された形跡がある。内容は、まあ、想像に任せる。
5,SR,🔥,火種,小焔予兆,まだ燃えてはいない。ただ、始まる可能性だけがある。
,,,,,
15,R,🧦,厚手の靴下,足元堅守,冷える場所から守るのは、まず足元だ。
15,R,🕯,短いろうそく,短灯即照,長くはもたないが、必要な時には足りる。
15,R,📎,古い留め具,旧留未壊,外れそうで、外れていない。
15,R,📦,無地の箱,素箱無銘,中身は空。用途は自由。
15,R,🧣,巻き直したマフラー,再結温布,少し雑だが、ちゃんと暖かい。
,,,,,
40,N,✨,息の白さ,白息微光,寒いことを、ちゃんと感じられている証拠。
40,N,☕,ぬるい飲み物,半温休憩,熱くも冷たくもない。今の気分にはちょうどいい。
40,N,📏,数センチの余白,寸白余地,詰めなかった分、楽になる。
40,N,🎶,遠くの音楽,遠律微響,聞こえている気がする、くらいが心地いい。
40,N,🛏️,早めの就寝,静夜早眠,何も起きない夜も、悪くない。
40,N,🕰️,遅れた時計,遅針容認,正確じゃないけど、困ってはいない。
40,N,📄,白いメモ,未記余白,書かれなかったことにも意味がある。
40,N,🪶,軽い気配,軽影通過,気にしなければ、それでいい程度のもの。
,,,,,
10,R,🍷,一口の夜,夜味一滴,多くはいらない。少しで十分。
10,R,👀,視線の端,端視残像,見た気がする、くらいが一番厄介。
10,R,🫶,近すぎない距離,距離寸止,触れないところで、止まっている。
10,R,🛋️,沈むソファ,沈身休所,立ち上がる理由が、今はない。
10,R,📚,途中の章,未章継続,結末はまだ先。
,,,,,
5,SR,🕯,灯の残り香,余灯残香,消えたあとに残るものの方が、強いこともある。
5,SR,🎄,夜更けの飾り,深夜飾灯,誰も見ていない時間に、いちばん綺麗。
5,SR,🧭,向きの違う針,針向逸脱,正解から少し外れている。だが、進んではいる。
,,,,,
30,N,📎,小さな癖,細癖無害,直すほどでもない。
30,N,🫖,二杯目,再飲安堵,もう一度、落ち着くためのもの。
30,N,🪑,軋む椅子,軋座旧品,壊れない程度に、歴史がある。
30,N,📦,軽い荷物,軽荷随行,持っていることを忘れるくらい。
30,N,🌫️,曖昧な気分,曖気未定,名前をつけるほどでもない。
,,,,,
74,N,🕯,遅い帰り道,夜路残灯,誰もいない道に、まだ灯りが残っていた。少しだけ安心する。
74,N,❄️,冷えた指先,冷指余温,かじかんだ指に、あとから温度が戻ってくる。
74,N,🎶,遠くの音楽,遠音微響,どこかで鳴ってる。自分には関係ないはずなのに、耳に残る。
74,N,☕,少し濃いコーヒー,苦醒一杯,眠気は取れないけど、座り直す理由にはなった。
74,N,🧣,ずれたマフラー,緩巻冬布,きっちりじゃない巻き方が、今日はちょうどいい。
74,N,📎,外れかけの紙,未留片紙,落ちそうで落ちない。その状態が一番気になる。
74,N,🕰️,止まりかけの秒針,遅刻秒刻,急ぐほど、時間は言うことを聞かない。
74,N,✨,消えかけの飾り,薄光飾片,派手じゃないけど、ちゃんと残ってる。
74,N,📖,閉じたページ,閉頁余読,読まなかった行のほうが、頭に残ることもある。
74,N,🌙,曇った月,雲月半影,見えなくても、そこにあるのは分かる。
,,,,,
74,N,🧦,少し長い靴下,長襪余白,足首まで隠れると、気持ちも落ち着く。
74,N,🪑,きしむ椅子,軋座静待,座るたびに音がするけど、慣れてしまった。
74,N,📐,曲がった線,歪線途中,真っ直ぐじゃないほうが、後で辿りやすい。
74,N,📦,軽い箱,空箱軽量,中身より、持った感触のほうを覚えてる。
74,N,🫖,冷めかけのお茶,半温茶杯,飲みきらなくてもいい、そんな温度。
74,N,🎄,端の飾り,端飾控目,真ん中じゃない場所のほうが、居心地がいい。
74,N,🛏️,浅い眠り,浅眠残像,夢を見た気がするけど、内容は思い出せない。
74,N,🪟,曇った窓,曇窓内景,外は見えない。でも今は、それでいい。
74,N,📄,折れた角,折角未補,気づいたときには、もう戻らない。
